C.ID #Tr. #ObsRCmp	Tr.Name	LclFreq.	AvgTrLen
0	3	3395	ENST00000250111.4	.76867984709999999999	2554.17517992379999995710
0	3	3395	ENST00000577026.1	.07314334139999999999	2554.17517992379999995710
0	3	3395	ENST00000577113.1	.15817681149999999999	2554.17517992379999995710
100011	10	43466	ENST00000253408.5	1.00000058649999999999	3086.00180993899999996914
100011	10	43466	ENST00000376990.4	0	3086.00180993899999996914
100011	10	43466	ENST00000435360.2	0	3086.00180993899999996914
100011	10	43466	ENST00000586793.1	0	3086.00180993899999996914
100011	10	43466	ENST00000587997.1	0	3086.00180993899999996914
100011	10	43466	ENST00000588037.1	0	3086.00180993899999996914
100011	10	43466	ENST00000588316.1	0	3086.00180993899999996914
100011	10	43466	ENST00000588735.1	0	3086.00180993899999996914
100011	10	43466	ENST00000588957.1	0	3086.00180993899999996914
100011	10	43466	ENST00000592320.1	0	3086.00180993899999996914
100012	1	6	ENST00000586127.1	1	524
100013	1	23	ENST00000591880.1	1	537
